iata_code,name,type,municipality,iso_country,latitude_deg,longitude_deg,route_count,inbound_route_count,type_score,major_score
DXB,Dubai International Airport,large_airport,Dubai,AE,25.24979,55.370992,188,182,2.0,5.5851234211214065
AUH,Zayed International Airport,large_airport,Abu Dhabi,AE,24.440966,54.649237,87,89,2.0,5.07659463159993
SHJ,Sharjah International Airport,large_airport,Sharjah,AE,25.3286,55.5172,78,78,2.0,4.996192813120243
DWC,Al Maktoum International Airport,large_airport,Dubai(Jebel Ali),AE,24.896171,55.16235,40,37,2.0,4.524739158032119
AZI,Al Bateen Executive Airport,large_airport,Abu Dhabi,AE,24.427062,54.459866,4,4,2.0,3.1036145685262397
AAN,Al Ain International Airport,large_airport,Al Ain,AE,24.2617,55.6092,2,2,2.0,2.7533341408009893
FJR,Fujairah International Airport,large_airport,Fujairah,AE,25.108411,56.328061,1,1,2.0,2.475300923812534
RKT,Ras Al Khaimah International Airport,large_airport,Ras Al Khaimah,AE,25.613501,55.938801,0,0,2.0,2.0
XSB,Sir Bani Yas Airport,medium_airport,Sir Bani Yas,AE,24.283611,52.580278,2,2,1.0,1.7533341408009897
DHF,Al Dhafra Air Base,medium_airport,,AE,24.248199462900004,54.5476989746,0,0,1.0,1.0
NHD,Al Minhad Air Base,medium_airport,Dubai,AE,25.0268001556,55.3661994934,0,0,1.0,1.0
ZDY,Delma Airport,small_airport,Delma Island,AE,24.51,52.3352,1,1,0.25,0.725300923812534
DST,Dubai Seaplane Terminal,seaplane_base,,AE,25.263,55.272,0,0,0.0,0.0
AYM,Yas Island Seaplane Base,seaplane_base,Abu Dhabi,AE,24.467,54.6103,0,0,0.0,0.0
KBL,Kabul International Airport,large_airport,Kabul,AF,34.565899,69.212303,15,13,2.0,3.8630518687859867
HEA,Herat - Khwaja Abdullah Ansari International Airport,large_airport,Guzara,AF,34.209999,62.228298,4,4,2.0,3.1036145685262397
KDH,Ahmad Shah Baba International Airport,large_airport,Kandahar,AF,31.505769,65.847963,4,4,2.0,3.1036145685262397
MZR,Mazar-i-Sharif International Airport,large_airport,Mazar-i-Sharif,AF,36.70412,67.210459,3,3,2.0,2.9506018476250677
OAI,Bagram Airfield,medium_airport,Bagram,AF,34.946098,69.264999,0,0,1.0,1.0
JAA,Jalalabad Airport,medium_airport,Jalalabad,AF,34.399799,70.498596,0,0,1.0,1.0
KHT,Khost International Airport,medium_airport,Khost,AF,33.284605,69.80734,0,0,1.0,1.0
MMZ,Maymana Zahiraddin Faryabi Airport,medium_airport,Maymana,AF,35.930801,64.760902,0,0,1.0,1.0
UND,Kunduz Airport,medium_airport,Kunduz,AF,36.6651,68.910797,0,0,1.0,1.0
BIN,Bamyan Airport,small_airport,Bamyan,AF,34.808916,67.816629,0,0,0.25,0.25
BST,Bost Airport,small_airport,Lashkar Gah,AF,31.5597,64.364998,0,0,0.25,0.25
CCN,Chaghcharan Airport,small_airport,Chaghcharan,AF,34.526465,65.27102,0,0,0.25,0.25
SBF,Sardeh Band Airport,small_airport,Sardeh Band,AF,33.3207015991,68.6364974976,0,0,0.25,0.25
DWR,Dwyer Airport,small_airport,Reg,AF,31.091265,64.066053,0,0,0.25,0.25
DAZ,Darwaz Airport,small_airport,Darwaz,AF,38.461798,70.881606,0,0,0.25,0.25
FAH,Farah Airport,small_airport,Farah,AF,32.366667,62.165347,0,0,0.25,0.25
FBD,Fayzabad Airport,small_airport,Fayzabad,AF,37.122148,70.5201,0,0,0.25,0.25
GZI,Ghazni Airport,small_airport,Ghazni,AF,33.487853,68.525243,0,0,0.25,0.25
GRG,Gardez Airport,small_airport,Gardez,AF,33.627366,69.237023,0,0,0.25,0.25
KWH,Khwahan Airport,small_airport,Khwahan,AF,37.890021,70.20383,0,0,0.25,0.25
URN,Urgun Airport,small_airport,Urgun,AF,32.931135,69.153167,0,0,0.25,0.25
LQN,Qala-i-Naw Airport,small_airport,Qala-i-Naw,AF,34.985472,63.117404,0,0,0.25,0.25
URZ,Orūzgān Airport,small_airport,Orūzgān,AF,32.9029998779,66.630897522,0,0,0.25,0.25
KUR,Razer Airport,small_airport,Skazar,AF,36.029893,70.714159,0,0,0.25,0.25
OAS,Sharana Airstrip,small_airport,Sharana,AF,33.12575,68.838517,0,0,0.25,0.25
OAH,Shindand Air Base,small_airport,Shindand,AF,33.3913,62.261002,0,0,0.25,0.25
OAA,Shank Air Base,small_airport,Baraki Barak,AF,33.922217,69.07794,0,0,0.25,0.25
OLR,Salerno Airport,small_airport,Khost,AF,33.3638,69.9561,0,0,0.25,0.25
SGA,Sheghnan Airport,small_airport,Shiveh,AF,37.497642,71.508484,0,0,0.25,0.25
TII,Tarinkot Airport,small_airport,Tarinkot,AF,32.604198,65.865799,0,0,0.25,0.25
TQN,Taleqan Airport,small_airport,Taleqan,AF,36.770699,69.531998,0,0,0.25,0.25
OAZ,Camp Shorabak Airfield,small_airport,Lashkar Gah,AF,31.848735,64.223175,0,0,0.25,0.25
ZAJ,Zaranj Airport,small_airport,Zaranj,AF,30.972222,61.865833,0,0,0.25,0.25
ANU,V. C. Bird International Airport,large_airport,Osbourn,AG,17.1367,-61.792702,22,22,2.0,4.150053176637131
BBQ,Burton-Nibbs International Airport,medium_airport,Codrington,AG,17.621194,-61.798347,0,0,1.0,1.0
AXA,Clayton J. Lloyd International Airport,medium_airport,The Valley,AI,18.204773,-63.05383,4,4,1.0,2.10361456852624
TIA,Tirana International Airport Mother Teresa,large_airport,Rinas,AL,41.4147,19.7206,18,18,2.0,4.0190438714284165
KFZ,Kukës International Airport,medium_airport,Kukës,AL,42.035802,20.415955,0,0,1.0,1.0
EVN,Zvartnots International Airport,large_airport,Yerevan,AM,40.148941,44.397887,33,33,2.0,4.418075788308225
LWN,Shirak International Airport,large_airport,Gyumri,AM,40.750401,43.859299,1,1,2.0,2.475300923812534
YUK,Syunik Airport,small_airport,Kapan,AM,39.202272,46.455204,0,0,0.25,0.25
LAD,Quatro de Fevereiro International Airport,large_airport,Luanda,AO,-8.85837,13.2312,36,36,2.0,4.476057997241754
VPE,Ngjiva Pereira Airport,medium_airport,Ngiva,AO,-17.0435009003,15.683799743700002,6,6,1.0,2.3343383879236432
NBJ,Dr. Antonio Agostinho Neto International Airport,large_airport,Luanda (Ícolo e Bengo),AO,-9.050734,13.499078,0,0,2.0,2.0
NOV,Albano Machado Airport,medium_airport,Huambo,AO,-12.8089,15.7605,3,3,1.0,1.950601847625068
SPP,Menongue Airport,medium_airport,Menongue,AO,-14.657600402832031,17.71980094909668,3,3,1.0,1.950601847625068
SDD,Lubango Mukanka International Airport,medium_airport,Lubango,AO,-14.924839,13.576653,3,3,1.0,1.950601847625068
CAB,Cabinda Airport,medium_airport,Cabinda,AO,-5.59839,12.188145,2,2,1.0,1.7533341408009897
CBT,Catumbela Airport,medium_airport,Catumbela,AO,-12.4792,13.4869,2,2,1.0,1.7533341408009897
SVP,Kuito Airport,medium_airport,Kuito,AO,-12.404600143433,16.947399139404,2,2,1.0,1.7533341408009897
MEG,Malanje Airport,medium_airport,Malanje,AO,-9.525090217590332,16.312400817871094,2,2,1.0,1.7533341408009897
VHC,Saurimo Airport,medium_airport,Saurimo,AO,-9.68907,20.4319,2,2,1.0,1.7533341408009897
SZA,Soyo Airport,medium_airport,Soyo,AO,-6.141089916229248,12.371800422668455,2,2,1.0,1.7533341408009897
SSY,Mbanza Congo Airport,medium_airport,Mbanza Congo,AO,-6.269899845123291,14.246999740600586,1,1,1.0,1.4753009238125339
MSZ,Welwitschia Mirabilis International Airport,medium_airport,Moçâmedes,AO,-15.2612,12.1468,1,1,1.0,1.4753009238125339
LUO,Luena Airport,medium_airport,Luena,AO,-11.7681,19.897699,1,1,1.0,1.4753009238125339
BUG,Benguela Airport,medium_airport,Benguela,AO,-12.609,13.4037,0,0,1.0,1.0
DUE,Dundo Airport,medium_airport,Chitato,AO,-7.400889873504639,20.818500518798828,0,0,1.0,1.0
GXG,Negage Airport,medium_airport,Negage,AO,-7.754509925842285,15.287699699401855,0,0,1.0,1.0
PBN,Porto Amboim Airport,medium_airport,Port Amboim,AO,-10.722,13.7655,0,0,1.0,1.0
NDD,Sumbe Airport,medium_airport,Sumbe,AO,-11.1679,13.8475,0,0,1.0,1.0
UGO,Uige Airport,medium_airport,Uige,AO,-7.60307,15.0278,0,0,1.0,1.0
XGN,Xangongo Airport,medium_airport,Xangongo,AO,-16.755399703979492,14.965299606323242,0,0,1.0,1.0
CTV,Catoca Airport,small_airport,Saurimo,AO,-9.431359,20.311557,0,0,0.25,0.25
ANL,Andulo Airport,small_airport,Andulo,AO,-11.4723,16.710899,0,0,0.25,0.25
CNZ,Cangamba Airport,small_airport,Cangamba,AO,-13.7106,19.861099,0,0,0.25,0.25
DRC,Dirico Airport,small_airport,Dirico,AO,-17.981924,20.768061,0,0,0.25,0.25
NDF,N'dalatando Airport,small_airport,N'dalatando,AO,-9.280378,14.982432,0,0,0.25,0.25
AZZ,Ambriz Airport,small_airport,Ambriz,AO,-7.86222,13.1161,0,0,0.25,0.25
GGC,Lumbala Airport,small_airport,Lumbala N'guimbo,AO,-14.105106,21.45083,0,0,0.25,0.25
CFF,Cafunfo Airport,small_airport,Cafunfo,AO,-8.78361,17.9897,0,0,0.25,0.25
PGI,Chitato Airport,small_airport,Chitato,AO,-7.35889,20.804701,0,0,0.25,0.25
KNP,Kapanda Airport,small_airport,Capanda,AO,-9.76937,15.455319,0,0,0.25,0.25
CTI,Cuito Cuanavale Airport,small_airport,Cuito Cuanavale,AO,-15.1603,19.156099,0,0,0.25,0.25
CXM,Camaxilo Airport,small_airport,Camaxilo,AO,-8.37361,18.923599,0,0,0.25,0.25
CAV,Cazombo Airport,small_airport,Cazombo,AO,-11.8931,22.916239,0,0,0.25,0.25
LLT,Lobito Airport,small_airport,Lobito,AO,-12.3712,13.5366,0,0,0.25,0.25
LBZ,Lucapa Airport,small_airport,Lucapa,AO,-8.442339,20.732701,0,0,0.25,0.25
LZM,Luzamba Airport,small_airport,Luzamba,AO,-9.11596012115,18.0492992401,0,0,0.25,0.25
UAL,Luau Airport,small_airport,Luau,AO,-10.7158,22.2311,0,0,0.25,0.25
CEO,Waco Kungo Airport,small_airport,Waco Kungo,AO,-11.4264,15.1014,0,0,0.25,0.25
ARZ,N'zeto Airport,small_airport,N'zeto,AO,-7.259277,12.862355,0,0,0.25,0.25
NZA,Nzagi Airport,small_airport,Nzagi,AO,-7.716939926149999,21.358200073200003,0,0,0.25,0.25
JMB,Jamba Airport,small_airport,Jamba,AO,-14.698193,16.070148,0,0,0.25,0.25
WFR,(Duplicate)Wolf's Fang Runway,medium_airport,Queen Maud Island,AQ,-71.5264,8.799459,0,0,1.0,1.0
UGL,Union Glacier Blue-Ice Runway,small_airport,Union Glacier,AQ,-79.777778,-83.320833,0,0,0.25,0.25
TNM,Teniente Rodolfo Marsh Martin Airport,small_airport,Villa Las Estrellas,AQ,-62.191026,-58.98669,0,0,0.25,0.25
AEP,Aeroparque Jorge Newbery,large_airport,Buenos Aires,AR,-34.559419,-58.415536,43,42,2.0,4.588304458051179
EZE,Ezeiza International Airport - Ministro Pistarini,large_airport,Buenos Aires (Ezeiza),AR,-34.8222,-58.5358,40,40,2.0,4.5464494171686685
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,large_airport,Cordoba,AR,-31.312346,-64.208329,11,11,2.0,3.7039359884260574
