origin,dest,dest_label,mode,iso_country,trip_type,depart_date,return_date,cabin,adults,sort,url
LHR,SIN,Singapore,country,SG,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMTJ2c3dCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,SIN,Singapore,country,SG,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMTJ2c3dCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,LAX,Los Angeles,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDAgCEggvbS8wNGx5a0IBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LGW,LAX,Los Angeles,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDAgCEggvbS8wNGx5a0IBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LHR,JFK,New York,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDAgCEggvbS8wcDFsMkIBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LHR,LGA,New York,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMWt5bG5CAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,JFK,New York,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDAgCEggvbS8wcDFsMkIBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LGW,LGA,New York,city_match,US,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMWt5bG5CAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,EDI,Edinburgh,city_match,GB,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMXBudmJCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,EDI,Edinburgh,city_match,GB,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMXBudmJCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,HKG,Hong Kong,country,HK,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMWt5OWNCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,HKG,Hong Kong,country,HK,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMWt5OWNCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,SYD,Sydney,city_match,AU,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMW5mbDFCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,SYD,Sydney,city_match,AU,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMW5mbDFCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,DUB,Dublin,city_match,IE,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMXF5a3RCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,DUB,Dublin,city_match,IE,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMXF5a3RCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,CDG,Paris,city_match,FR,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDAgCEggvbS8wcWs3OUIBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LHR,ORY,Paris,city_match,FR,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMWw1MjVCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,CDG,Paris,city_match,FR,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDAgCEggvbS8wcWs3OUIBAUgBcAGCAQsI____________AZgBAg&hl=en&tfu=EgYIABAAGAA
LGW,ORY,Paris,city_match,FR,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMWw1MjVCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,YYZ,Toronto,city_match,CA,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wNms5bDdCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,YTZ,Toronto,city_match,CA,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMXJ6MGNCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,YYZ,Toronto,city_match,CA,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wNms5bDdCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,YTZ,Toronto,city_match,CA,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMXJ6MGNCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LHR,LIS,Lisbon,city_match,PT,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMDNqbjRyDQgCEgkvbS8wMzczMDlCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
LGW,LIS,Lisbon,city_match,PT,one_way,2026-05-07,,economy,1,best,https://www.google.com/travel/flights/search?tfs=CBwQAhopEgoyMDI2LTA1LTA3agwIAhIIL20vMHByNnNyDQgCEgkvbS8wMzczMDlCAQFIAXABggELCP___________wGYAQI&hl=en&tfu=EgYIABAAGAA
